"BuySellIndicator","TransactionType","Sender","Receiver","SendersRef","Function","TradeRef","PreviousRef","TradeDate","SettlementDate","DealCcy","DealPrice","SGXSecurityCode","ISIN","SecurityDescription","Quantity","BuyerSeller","ClientAccount","CDPSafeKeepingAccount","PlaceofTrade","PlaceofSettlement","SettlementCcy","SettlementAmt","AccruedInterestCcy","AccruedInterestAmt","Blocktrade","PaymentIndicator","LocalorForeignIndicator","StatusID","Status","PSMSMatchedReference","TransferType","flag","NotReported","Rate","Price","DaName","CDPAccountName","Location","SettlementValue_BaseCurrency","SettlementValue_SGD","NewFee","OldFee","FeeGain"
"S","FDVP",701,561,"1656029","NEWM","",NA,20160518,20160523,"SGD",0,"2B72","LU0514695187","DBXT MSCI INDIA TRN ETF 10",10,"701","","7011-2371-4675","OTCO","CDPLSGSG","USD",93.13,"",NA,"N","","",15,"SETTLED","C16K200522348296","TRAD","Off-Exchange",NA,1.41265,9.04,"BNP Paribas Securities Services Singapore Branch (BP2S)","2003370001","UNITED KINGDOM",93.13,131.5600945,0,33,-33
"S","FDVP",701,561,"1656029","NEWM","",NA,20160518,20160523,"SGD",0,"2B72","LU0514695187","DBXT MSCI INDIA TRN ETF 10",10,"701","","7011-2371-4675","OTCO","CDPLSGSG","USD",93.13,"",NA,"N","","",15,"SETTLED","C16K200522348296","TRAD","Off-Exchange",NA,1.38175,9.04,"BNP Paribas Securities Services Singapore Branch (BP2S)","2003370001","UNITED KINGDOM",93.13,128.6823775,0,33,-33
"B","FDVP",701,590,"1656030","NEWM","",NA,20160518,20160523,"SGD",0,"1V35","SG1V35936920","ASCENDAS INDIA TRUST",90000,"701","","7011-2371-4675","OTCO","CDPLSGSG","SGD",86017.65,"",NA,"N","","",15,"SETTLED","C16K200522332064","TRAD","Off-Exchange",NA,1,0.955,"BNP Paribas Securities Services Singapore Branch (BP2S)","2003370001","UNITED KINGDOM",86017.65,86017.65,0,33,-33
"S","FDVP",701,701,"1656032","NEWM","",NA,20160518,20160523,"SGD",0,"2F77","SG2F77993036","ASIAN PAY TELEVISION TRUST",3000,"701","","7011-2073-0988","XSES","CDPLSGSG","SGD",1676.95,"",NA,"N","","",15,"SETTLED","C16K230522352131","TRAD","Off-Exchange",NA,1,0.565,"BNP Paribas Securities Services Singapore Branch (BP2S)","2000550001","ITALY",1676.95,1676.95,78,33,45
"S","FDVP",701,701,"1656033","NEWM","",NA,20160518,20160523,"SGD",0,"1CD1","SG1CD1000005","K1 VENTURES LIMITED",3000,"701","","7011-2073-0988","OTCO","CDPLSGSG","SGD",2456.7,"",NA,"N","","",15,"SETTLED","C16K200522348279","TRAD","Off-Exchange",NA,1,0.81,"BNP Paribas Securities Services Singapore Branch (BP2S)","2000550001","ITALY",2456.7,2456.7,0,33,-33
"B","FDVP",701,278,"1656089","NEWM","",NA,20160518,20160523,"SGD",0,"1T56","SG1T56930848","WILMAR INTERNATIONAL LIMITED",94600,"701","","7011-2276-9209","OTCO","CDPLSGSG","SGD",312661.93,"",NA,"N","","",15,"SETTLED","C16K200522332078","TRAD","Off-Exchange",NA,1,3.26,"BNP Paribas Securities Services Singapore Branch (BP2S)","2001880004","AUSTRALIA",312661.93,312661.93,0,33,-33
"B","FDVP",701,278,"1656090","NEWM","",NA,20160518,20160523,"SGD",0,"1T56","SG1T56930848","WILMAR INTERNATIONAL LIMITED",356700,"701","","7011-2276-9209","OTCO","CDPLSGSG","SGD",1178927.19,"",NA,"N","","",15,"SETTLED","C16K200522332188","TRAD","Off-Exchange",NA,1,3.26,"BNP Paribas Securities Services Singapore Branch (BP2S)","2001880004","AUSTRALIA",1178927.19,1178927.19,0,33,-33
"S","FDVP",701,701,"1656156","NEWM","",NA,20160518,20160523,"SGD",0,"2B72","LU0514695187","DBXT MSCI INDIA TRN ETF 10",10,"701","","7011-2387-5183","XSES","CDPLSGSG","USD",92.97,"",NA,"N","","",15,"SETTLED","C16K200522348299","TRAD","Off-Exchange",NA,1.41265,9.04,"BNP Paribas Securities Services Singapore Branch (BP2S)","2003450001","UNITED STATES",92.97,131.3340705,78,33,45
"S","FDVP",701,701,"1656156","NEWM","",NA,20160518,20160523,"SGD",0,"2B72","LU0514695187","DBXT MSCI INDIA TRN ETF 10",10,"701","","7011-2387-5183","XSES","CDPLSGSG","USD",92.97,"",NA,"N","","",15,"SETTLED","C16K200522348299","TRAD","Off-Exchange",NA,1.38175,9.04,"BNP Paribas Securities Services Singapore Branch (BP2S)","2003450001","UNITED STATES",92.97,128.4612975,78,33,45
"B","FDVP",701,701,"1656157","NEWM","",NA,20160518,20160523,"SGD",0,"1V35","SG1V35936920","ASCENDAS INDIA TRUST",90000,"701","","7011-2387-5183","OTCO","CDPLSGSG","SGD",86063.61,"",NA,"N","","",15,"SETTLED","C16K200522348300","TRAD","Off-Exchange",NA,1,0.955,"BNP Paribas Securities Services Singapore Branch (BP2S)","2003450001","UNITED STATES",86063.61,86063.61,0,33,-33
"B","FDVP",701,282,"1656173","NEWM","",NA,20160518,20160523,"SGD",0,"2B72","LU0514695187","DBXT MSCI INDIA TRN ETF 10",10,"701","","7011-2387-5183","OTCO","CDPLSGSG","USD",92.95,"",NA,"N","","",15,"SETTLED","C16K200522334903","TRAD","Off-Exchange",NA,1.41265,9.04,"BNP Paribas Securities Services Singapore Branch (BP2S)","2003450001","UNITED STATES",92.95,131.3058175,0,33,-33
"B","FDVP",701,282,"1656173","NEWM","",NA,20160518,20160523,"SGD",0,"2B72","LU0514695187","DBXT MSCI INDIA TRN ETF 10",10,"701","","7011-2387-5183","OTCO","CDPLSGSG","USD",92.95,"",NA,"N","","",15,"SETTLED","C16K200522334903","TRAD","Off-Exchange",NA,1.38175,9.04,"BNP Paribas Securities Services Singapore Branch (BP2S)","2003450001","UNITED STATES",92.95,128.4336625,0,33,-33
"B","FDVP",701,590,"1656191","NEWM","",NA,20160518,20160523,"SGD",0,"1V52","SG1V52937132","PARKWAYLIFE REIT",79000,"701","","7011-3310-8821","OTCO","CDPLSGSG","SGD",193293.55,"",NA,"N","","",15,"SETTLED","C16K200522332089","TRAD","Off-Exchange",NA,1,2.45,"BNP Paribas Securities Services Singapore Branch (BP2S)",NA,NA,193293.55,193293.55,0,33,-33
"B","FDVP",701,701,"1656211","NEWM","",NA,20160518,20160523,"SGD",0,"2B72","LU0514695187","DBXT MSCI INDIA TRN ETF 10",10,"701","","7011-2371-4675","XSES","CDPLSGSG","USD",92.97,"",NA,"N","","",15,"SETTLED","C16K200522348299","TRAD","Off-Exchange",NA,1.41265,9.04,"BNP Paribas Securities Services Singapore Branch (BP2S)","2003370001","UNITED KINGDOM",92.97,131.3340705,78,33,45
"B","FDVP",701,701,"1656211","NEWM","",NA,20160518,20160523,"SGD",0,"2B72","LU0514695187","DBXT MSCI INDIA TRN ETF 10",10,"701","","7011-2371-4675","XSES","CDPLSGSG","USD",92.97,"",NA,"N","","",15,"SETTLED","C16K200522348299","TRAD","Off-Exchange",NA,1.38175,9.04,"BNP Paribas Securities Services Singapore Branch (BP2S)","2003370001","UNITED KINGDOM",92.97,128.4612975,78,33,45
"S","FDVP",701,701,"1656216","NEWM","",NA,20160518,20160523,"SGD",0,"1V35","SG1V35936920","ASCENDAS INDIA TRUST",90000,"701","","7011-2371-4675","OTCO","CDPLSGSG","SGD",86063.61,"",NA,"N","","",15,"SETTLED","C16K200522348300","TRAD","Off-Exchange",NA,1,0.955,"BNP Paribas Securities Services Singapore Branch (BP2S)","2003370001","UNITED KINGDOM",86063.61,86063.61,0,33,-33
"S","FDVP",701,561,"1656221","NEWM","",NA,20160518,20160523,"SGD",0,"1P62","BMG6542T1190","NOBLE GROUP LIMITED",30000,"701","","7011-3299-3271","OTCO","CDPLSGSG","SGD",9756.83,"",NA,"N","","",15,"SETTLED","C16K200522332219","TRAD","Off-Exchange",NA,1,0.31,"BNP Paribas Securities Services Singapore Branch (BP2S)",NA,NA,9756.83,9756.83,0,33,-33
"S","FDVP",701,561,"1656222","NEWM","",NA,20160518,20160523,"SGD",0,"1T74","SG1T74931364","YOMA STRATEGIC HOLDINGS LTD",6000,"701","","7011-3299-3271","OTCO","CDPLSGSG","SGD",3092.16,"",NA,"N","","",15,"SETTLED","C16K200522332195","TRAD","Off-Exchange",NA,1,0.515,"BNP Paribas Securities Services Singapore Branch (BP2S)",NA,NA,3092.16,3092.16,0,33,-33
"B","FDVP",701,282,"1656228","NEWM","",NA,20160518,20160523,"SGD",0,"2F77","SG2F77993036","ASIAN PAY TELEVISION TRUST",760000,"701","","7011-3299-3271","OTCO","CDPLSGSG","SGD",432881.12,"",NA,"N","","",15,"SETTLED","C16K200522333604","TRAD","Off-Exchange",NA,1,0.565,"BNP Paribas Securities Services Singapore Branch (BP2S)",NA,NA,432881.12,432881.12,0,33,-33
"B","FDVP",701,551,"1656230","NEWM","",NA,20160518,20160523,"SGD",0,"1H97","SG1H97877952","SEMBCORP MARINE LTD",82800,"701","","7011-3299-3271","OTCO","CDPLSGSG","SGD",133999.41,"",NA,"N","","",15,"SETTLED","C16K200522332077","TRAD","Off-Exchange",NA,1,1.59,"BNP Paribas Securities Services Singapore Branch (BP2S)",NA,NA,133999.41,133999.41,0,33,-33
"B","FDVP",701,551,"1656231","NEWM","",NA,20160518,20160523,"SGD",0,"1J94","SG1J94892465","UMS HOLDINGS LIMITED",55100,"701","","7011-3299-3271","OTCO","CDPLSGSG","SGD",31109.71,"",NA,"N","","",15,"SETTLED","C16K200522332056","TRAD","Off-Exchange",NA,1,0.565,"BNP Paribas Securities Services Singapore Branch (BP2S)",NA,NA,31109.71,31109.71,0,33,-33
"B","FDVP",701,282,"1656232","NEWM","",NA,20160518,20160523,"SGD",0,"1M77","SG1M77906915","ASCENDAS REAL ESTATE INV TRUST",56600,"701","","7011-3299-3271","OTCO","CDPLSGSG","SGD",131555.58,"",NA,"N","","",15,"SETTLED","C16K200522333598","TRAD","Off-Exchange",NA,1,2.31,"BNP Paribas Securities Services Singapore Branch (BP2S)",NA,NA,131555.58,131555.58,0,33,-33
"S","FDVP",701,551,"1656234","NEWM","",NA,20160518,20160523,"SGD",0,"1T42","TH0902010014","THAI BEVERAGE PUBLIC CO LTD",733000,"701","","7011-3299-3271","OTCO","CDPLSGSG","SGD",656494.22,"",NA,"N","","",15,"SETTLED","C16K200522332206","TRAD","Off-Exchange",NA,1,0.875,"BNP Paribas Securities Services Singapore Branch (BP2S)",NA,NA,656494.22,656494.22,0,33,-33
"S","FDVP",701,282,"1656235","NEWM","",NA,20160518,20160523,"SGD",0,"1J94","SG1J94892465","UMS HOLDINGS LIMITED",55100,"701","","7011-3299-3271","OTCO","CDPLSGSG","SGD",31117.22,"",NA,"N","","",15,"SETTLED","C16K200522333585","TRAD","Off-Exchange",NA,1,0.565,"BNP Paribas Securities Services Singapore Branch (BP2S)",NA,NA,31117.22,31117.22,0,33,-33
"B","FDVP",701,282,"1656236","NEWM","",NA,20160518,20160523,"SGD",0,"1BI7","SG1BI7000000","SIIC ENVIRONMENT HOLDINGS LTD.",2000,"701","","7011-3299-3271","OTCO","CDPLSGSG","SGD",1220.58,"",NA,"N","","",15,"SETTLED","C16K200522333713","TRAD","Off-Exchange",NA,1,0.625,"BNP Paribas Securities Services Singapore Branch (BP2S)",NA,NA,1220.58,1220.58,0,33,-33
"S","FDVP",701,659,"1656242","NEWM","",NA,20160518,20160523,"SGD",0,"1.00E+80","CNE100000924","TIANJIN ZHONG XIN PHARM GROUP",11900,"701","","7011-3299-3271","OTCO","CDPLSGSG","USD",10229.13,"",NA,"N","","",15,"SETTLED","C16K200522340888","TRAD","Off-Exchange",NA,1.41265,0.865,"BNP Paribas Securities Services Singapore Branch (BP2S)",NA,NA,10229.13,14450.1804945,0,33,-33
"S","FDVP",701,659,"1656242","NEWM","",NA,20160518,20160523,"SGD",0,"1.00E+80","CNE100000924","TIANJIN ZHONG XIN PHARM GROUP",11900,"701","","7011-3299-3271","OTCO","CDPLSGSG","USD",10229.13,"",NA,"N","","",15,"SETTLED","C16K200522340888","TRAD","Off-Exchange",NA,1.38175,0.865,"BNP Paribas Securities Services Singapore Branch (BP2S)",NA,NA,10229.13,14134.1003775,0,33,-33
"S","FDVP",701,561,"1656249","NEWM","",NA,20160518,20160523,"SGD",0,"1P04","SG1P04916067","ISR CAPITAL LIMITED",7e+05,"701","","7011-3299-3271","XSES","CDPLSGSG","SGD",48473.9,"",NA,"N","","",15,"SETTLED","C16K200522345537","TRAD","Off-Exchange",NA,1,0.092,"BNP Paribas Securities Services Singapore Branch (BP2S)",NA,NA,48473.9,48473.9,78,33,45
"B","FDVP",701,557,"1656250","NEWM","",NA,20160518,20160523,"SGD",0,"1T22","SG1T22929874","KEPPEL REIT",2500,"701","","7011-3299-3271","OTCO","CDPLSGSG","SGD",2502.47,"",NA,"N","","",15,"SETTLED","C16K200522332074","TRAD","Off-Exchange",NA,1,1.02,"BNP Paribas Securities Services Singapore Branch (BP2S)",NA,NA,2502.47,2502.47,0,33,-33
"B","FDVP",701,561,"1656253","NEWM","",NA,20160518,20160523,"SGD",0,"1.00E+80","CNE100000924","TIANJIN ZHONG XIN PHARM GROUP",11900,"701","","7011-3299-3271","OTCO","CDPLSGSG","USD",10226.84,"",NA,"N","","",15,"SETTLED","C16K200522332112","TRAD","Off-Exchange",NA,1.41265,0.865,"BNP Paribas Securities Services Singapore Branch (BP2S)",NA,NA,10226.84,14446.945526,0,33,-33
"B","FDVP",701,561,"1656253","NEWM","",NA,20160518,20160523,"SGD",0,"1.00E+80","CNE100000924","TIANJIN ZHONG XIN PHARM GROUP",11900,"701","","7011-3299-3271","OTCO","CDPLSGSG","USD",10226.84,"",NA,"N","","",15,"SETTLED","C16K200522332112","TRAD","Off-Exchange",NA,1.38175,0.865,"BNP Paribas Securities Services Singapore Branch (BP2S)",NA,NA,10226.84,14130.93617,0,33,-33
"S","FDVP",701,551,"1656255","NEWM","",NA,20160518,20160523,"SGD",0,"2F77","SG2F77993036","ASIAN PAY TELEVISION TRUST",760000,"701","","7011-3299-3271","OTCO","CDPLSGSG","SGD",433057.4,"",NA,"N","","",15,"SETTLED","C16K200522332207","TRAD","Off-Exchange",NA,1,0.565,"BNP Paribas Securities Services Singapore Branch (BP2S)",NA,NA,433057.4,433057.4,0,33,-33
